Name1, Name2, Address, Phone_Number, email, Website, Head_Master
中華基督教會基慧小學,CCC Kei Wai Primary School,荃灣荃景圍167-185號,24980383,info@kws.edu.hk,http://www.kws.edu.hk,何麗雯女士
中華基督教會基慧小學(馬灣),CCC Kei Wai Primary School (Ma Wan),新界荃灣馬灣珀麗灣珀林路12號,29863111,kwi-mail@hkedcity.net,http://www.kwmwps.edu.hk,何寶鈴女士
中華基督教會基法小學,CCC Kei Faat Primary School,九龍觀塘月華街34號,23418088,ccckfp@yahoo.com.hk,http://www.kfp.edu.hk,翁美茵女士
中華基督教會基法小學(油塘),CCC Kei Faat Primary School (Yau Tong),九龍油塘油塘道25號,23895458,kfs-mail@hkedcity.net,https://www.kfps.edu.hk,梁淑儀女士
中華基督教會基灣小學,CCC Kei Wan Primary School,香港筲箕灣西灣河街63號,25608007,keiwan@hkcccc.org,http://www.keiwan.edu.hk,林偉雄先生
中華基督教會基灣小學(愛蝶灣),CCC Kei Wan Primary School (Aldrich Bay),筲箕灣愛信道39號,29154140,school@ccckeiwan.edu.hk,http://www.ccckeiwan.edu.hk,黃靜雯女士
中華基督教會基真小學,CCC Kei Chun Primary School,新界葵涌華麗徑11號,27419907,ccckcs@gmail.com,http://www.keichun.edu.hk,洪之龍先生
中華基督教會基華小學,CCC Kei Wa Primary School,九龍黃大仙彩虹邨黃菊路,23200683,ccckeiwa@keiwa.edu.hk,http://www.keiwa.edu.hk,鄧瑞瑩博士
中華基督教會基華小學(九龍塘),CCC Kei Wa Primary School (Kowloon Tong),九龍九龍塘牛津道1B,22676676,kwpskt@kwpskt.edu.hk,http://www.kwpskt.edu.hk,鄭雪英女士
中華基督教會大澳小學,CCC Tai O Primary School,大嶼山大澳街市街24-26號,29857515,taiopris@netvigator.com,http://www.ccctaiops.edu.hk,蘇志英女士
中華基督教會拔臣小學,CCC But San Primary School,新界屯門新墟青山公路28號,24598552,cccbs@butsan.edu.hk,http://www.butsan.edu.hk,劉餘權先生
中華基督教會方潤華小學,CCC Fong Yun Wah Primary School,新界元朗天水圍天耀邨第二期,22519751,info@cccfyw.edu.hk,http://www.cccfyw.edu.hk,陳章華先生
中華基督教會灣仔堂基道小學,CCC Wanchai Church Kei To Primary School,九龍油麻地東莞街45號,27804455,info@keito.school.hk,http://keito.school.hk,姚慧貞女士
中華基督教會灣仔堂基道小學(九龍城),CCC Wanchai Church Kei To Primary School (Kowloon City),九龍城靠背壟道170號,27147000,ktkc@school.hk,http://ktkc.edu.hk,謝婉貞女士
中華基督教會蒙黃花沃紀念小學,CCC Mong Wong Far Yok Memorial Primary School,新界屯門一區田景邨屋邨校舍,24563678,mwfysam@incnets.com,http://www.cccmwfys.edu.hk,劉仲宏先生
中華基督教會長洲堂錦江小學,CCC Cheung Chau Church Kam Kong Primary School,長洲山頂道西1號,29810435,ccckkps1@netvigator.com,http://www.ccckamkongsch.edu.hk,曾偉漢先生
中華基督教青年會小學,Chinese YMCA Primary School,新界天水圍天富苑第四期,24450580,info@cymcaps.edu.hk,http://www.cymcaps.edu.hk,孫群英女士
中西區聖安多尼學校,Central And Western District St. Anthony's School,香港上環醫院道2號,25460369,sch@cwsa.edu.hk,http://www.cwsa.edu.hk,郭達華先生
丹拿山循道學校,Chinese Methodist School, Tanner Hill,北角百福道4號,25615822,info@cmsth.edu.hk,http://www.cmsth.edu.hk,朱敏娟女士
九龍城浸信會禧年(恩平)小學,Kowloon City Baptist Church Hay Nien (Yan Ping) Primary School,新界沙田新翠邨第二期校舍,26053811,enquiry@hnyp.edu.hk,http://www.hnyp.edu.hk,李楚安先生
九龍城浸信會禧年小學,Kowloon City Baptist Church Hay Nien Primary School,新界沙田馬鞍山富安花園,26411213,info@haynien.edu.hk,http://www.haynien.edu.hk,梁國輝先生
九龍塘天主教華德學校,Kowloon Tong Bishop Walsh Catholic School,九龍延文禮士道39號,23373768,mail@ktbwcs.edu.hk,http://www.ktbwcs.edu.hk,王伯基先生
九龍塘學校(小學部),Kowloon Tong School (Primary Section),九龍九龍塘金巴倫道2721地段,23363802,info@ktsps.edu.hk,http://www.ktsps.edu.hk,楊美娟女士
九龍塘官立小學,Kowloon Tong Government Primary School,九龍塘添福道六號,23360991,klntgps@edb.gov.hk,http://www.klntong.edu.hk,吳炎婷女士
九龍塘宣道小學,Alliance Primary School, Kowloon Tong,九龍塘蘭開夏道2號,23361047,office@apskt.edu.hk,http://www.apskt.edu.hk,關美梅女士
九龍塘方方樂趣英文小學,KLT Funful English Primary School,九龍九龍塘金巴倫道1號,23378422,office@fsris.edu.hk,http://www.fsris.edu.hk,999
九龍婦女福利會李炳紀念學校,Kowloon Women's Welfare Club Li Ping Memorial School,九龍衛理道33號,23846904,lpp-mail@hkedcity.net,http://www.kwwclpms.edu.hk,林嘉康校長
九龍灣聖若翰天主教小學,Kowloon Bay St. John The Baptist Catholic Primary School,九龍灣啟業道23號,23432311,sch@kbsjb.edu.hk,http://www.kbsjb.edu.hk,胡艷芬女士
九龍真光中學(小學部),Kowloon True Light School (Primary Section),九龍窩打老道115號,23360662,info@ktlsps.edu.hk,http://www.ktlsps.edu.hk,彭潔嫻女士
九龍禮賢學校,Kowloon Rhenish School,九龍又一村石竹路2A,23806011,rhenishschool@yahoo.com.hk,http://www.krs.edu.hk,吳玉英女士
九龍靈光小學,Emmanuel Primary School, Kowloon,九龍盛德街36-38號,27111232,eps-mail@hkedcity.net,http://www.eps.edu.hk,陸志昌先生
五旬節于良發小學,Pentecostal Yu Leung Fat Primary School,新界粉嶺暉明路16號,26795626,pylf_adm@yahoo.com.hk,http://www.pylfps.edu.hk,陳美英女士
五旬節靳茂生小學,Pentecostal Gin Mao Sheng Primary School,新界粉嶺璧峰路四號,26700103,pgms_off@yahoo.com.hk,http://www.pgms.edu.hk,黎佩華女士
五邑工商總會學校,Five Districts Business Welfare Association School,九龍深水埗永康街70號,23071017,info@fdbwa.edu.hk,http://www.fdbwa.edu.hk,黃錦耀先生
五邑鄒振猷學校,FDBWA Chow Chin Yau School,新界屯門蝴蝶村兆山苑,24671882,mail@fdccys.edu.hk,http://www.fdccys.edu.hk,沈耀光先生
亞斯理衛理小學,Asbury Methodist Primary School,新界葵涌荔景邨第二校舍,27429444,mail@asbury.edu.hk,http://www.asbury.edu.hk,林德育先生
仁德天主教小學,Yan Tak Catholic Primary School,新界屯門蝴蝶邨小學校舍第二座,24636171,info@yantak.edu.hk,http://www.yantak.edu.hk,陳善科先生
仁愛堂劉皇發夫人小學,Yan Oi Tong Madam Lau Wong Fat Primary School,新界屯門安定邨第六座校舍,24510372,mlwf@yotps.edu.hk,http://www.yotps.edu.hk,劉小慧女士
仁愛堂田家炳小學,Yan Oi Tong Tin Ka Ping Primary School,新界將軍澳唐俊街3號,24571302,office@yottkpps.edu.hk,http://www.yottkpps.edu.hk,黃悅明博士
仁濟醫院何式南小學,Yan Chai Hospital Ho Sik Nam Primary School,新界屯門第十六區興安里,24510325,ychhsn@yahoo.com.hk,http://www.hosiknam.edu.hk,羅卓賢先生
仁濟醫院羅陳楚思小學,Yan Chai Hospital Law Chan Chor Si Primary School,新界屯門湖景路29號,24413366,ychlccs@yahoo.com.hk,http://www.lccs.edu.hk,陳嘉碧女士
仁濟醫院蔡衍濤小學,Yan Chai Hospital Choi Hin To Primary School,新界大埔運頭塘邨,26566116,ychchtps@eservices.hkedcity.net,https://www.ychchtps.edu.hk,陳淑兒女士
仁濟醫院趙曾學韞小學,Yan Chai Hospital Chiu Tsang Hok Wan Primary School,新界青衣青衣邨第二期屋邨小學,24331788,info@ychcthwps.edu.hk,http://www.ychcthwps.edu.hk,林美霞女士
仁濟醫院陳耀星小學,Yan Chai Hospital Chan Iu Seng Primary School,新界將軍澳煜明苑,27061932,info@ychcisps.edu.hk,http://www.ychcisps.edu.hk,陳碧蘭女士
伊利沙伯中學舊生會小學,Queen Elizabeth School Old Students' Association Primary School,新界天水圍天耀邨第一期,24480889,qps-mail@qesosaps.edu.hk,http://www.qesosaps.edu.hk,何敏薇女士
伊利沙伯中學舊生會小學分校,Queen Elizabeth School Old Students' Association Branch Primary School,新界天水圍第四期第三區,24478686,info@bps.qesosa.edu.hk,http://www.bps.qesosa.edu.hk,梁潤蓮女士
伊斯蘭學校,Islamic Primary School,新界屯門友愛邨愛德里2號,24502270,mail@islamps.edu.hk,http://www.islamps.edu.hk,伍瑞蘭女士
伊斯蘭鮑伯濤紀念小學,Islamic Dharwood Pau Memorial Primary School,九龍黃大仙慈雲山慈樂邨第一期校舍,23201300,idpmps@idpmps.edu.hk,http://www.idpmps.edu.hk,石志端女士
佐敦谷聖若瑟天主教小學,Jordan Valley St. Joseph's Catholic Primary School,九龍彩霞道80號,23050061,jvsj@jvsj.edu.hk,http://www.jvsj.edu.hk,林漢堅先生
佐敦道官立小學,Jordan Road Government Primary School,九龍油麻地南京街1號B,23324249,jordan@eservices.hkedcity.net,http://www.jrgps.edu.hk,勞佩珊女士
佛教中華康山學校,Buddhist Chung Wah Kornhill Primary School,香港鰂魚涌康愉街2號,28844115,bcwkornhill@yahoo.com.hk,http://www.bcwkps.edu.hk,吳永雄先生
佛教志蓮小學,Chi Lin Buddhist Primary School,新界將軍澳唐俊街1號,22463959,office@chilinbps.edu.hk,http://www.chilinbps.edu.hk,李敏儀女士
佛教慈敬學校,Buddhist Chi King Primary School,九龍觀塘九龍灣啟禮道12號,27597722,info@bckps.edu.hk,http://www.bckps.edu.hk,莊聖謙先生
佛教林炳炎紀念學校,Buddhist Lam Bing Yim Memorial School,新界荃灣大廈街33號,24220125,blbyms_email@yahoo.com.hk,http://www.blbyms.edu.hk,李淑儀女士
佛教林金殿紀念小學,Buddhist Lim Kim Tian Memorial Primary School,新界葵涌葵芳邨第五期,24221747,info@lkt.edu.hk,http://www.lkt.edu.hk,吳永雄先生
佛教榮茵學校,Buddhist Wing Yan School,新界元朗鳳攸南街6號,24750433,bwy2009@yahoo.com.hk,http://www.bwys.edu.hk,杜家慶校長
佛教陳榮根紀念學校,Buddhist Chan Wing Kan Memorial School,元朗馬田欖口村路23號,24753663,info@bcwkms.edu.hk,http://www.bcwkms.edu.hk,陳滿林先生
佛教黃焯菴小學,Buddhist Wong Cheuk Um Primary School,香港銅鑼灣東院道11號,25762638,mail@bwcups.edu.hk,http://www.bwcups.edu.hk,陳瑞良先生
保良局世德小學,PLK Castar Primary School,新界青衣青綠街,24363923,info@plkcastar.edu.hk,http://www.plkcastar.edu.hk,葉麗芳女士
保良局何壽南小學,PLK Stanley Ho Sau Nan Primary School,九龍九龍城沐虹街11號,23262627,plkshsn@yahoo.com.hk,http://www.plkhsn.edu.hk,甘艷梅女士
保良局建造商會學校,HKCA Po Leung Kuk School,香港天后廟道62號,28071770,admissions@plkis.edu.hk,http://plkis.edu.hk,999
保良局志豪小學,PLK Horizon East Primary School,新界屯門興富街3號,27020707,plkheps@plkheps.edu.hk,http://www.plkheps.edu.hk,李秀蘭女士
保良局方王錦全小學,PLK Fong Wong Kam Chuen Primary School,新界屯門良景邨第三校舍,24661882,general@eclass.plkfwkc.edu.hk,http://www.plkfwkc.edu.hk,郭秀慧女士
保良局朱正賢小學,PLK Chee Jing Yin Primary School,新界沙田博康村沙角街6D,26469181,saryue@netvigator.com,http://www.plkcjy.edu.hk,高凱聯女士
保良局林文燦英文小學,PLK Lam Man Chan English Primary School,土瓜灣上鄉道24號及農圃道2號,27121270,email@plklmceps.edu.hk,http://www.plklmceps.edu.hk,文詩詠女士
保良局梁周順琴小學,PLK Leung Chow Shun Kam Primary School,新界屯門湖景村小學校舍第三座,24678107,plklcskoffice@gmail.com,http://www.plklcsk.edu.hk,溫慧芬女士
保良局王賜豪(田心谷)小學,PLK Dr. Jimmy Wong Chi-Ho ( Tin Sum Valley ) Primary School,新界沙田隆亨邨2A地段,26062363,school@plkwch.edu.hk,http://www.plkwch.edu.hk,楊偉賢先生
保良局田家炳千禧小學,PLK Tin Ka Ping Millennium Primary School,新界大埔公路大埔滘段4641號,26505551,info@plktkpmps.edu.hk,http://www.plktkpmps.edu.hk,陳寶玲女士
保良局田家炳小學,PLK Tin Ka Ping Primary School,新界大埔運頭塘邨,26521222,info@plktkp.edu.hk,http://www.plktkp.edu.hk,陳詠賢女士
保良局莊啟程小學,PLK Chong Kee Ting Primary School,新界沙田馬鞍山耀安村,26410221,mail@plkcktps.edu.hk,http://www.plkcktps.edu.hk,王寶音女士
保良局莊啟程第二小學,PLK Vicwood KT Chong No.2 Primary School,新界屯門大興邨第1號校舍,24621722,mail@plkvktc2.edu.hk,http://www.plkvktc2.edu.hk,陳志源先生
保良局蔡繼有學校,PLK Choi Kai Yau School,九龍深水埗郝德傑道6號,21482052,info@cky.edu.hk,http://www.cky.edu.hk,劉筱玲校長
保良局蕭漢森小學,PLK Siu Hon Sum Primary School,新界沙田穗禾苑42A地段,26041966,info@plkshs.edu.hk,http://www.plkshs.edu.hk,張炳堅先生
保良局西區婦女福利會馮李佩瑤小學,PLK Women’s Welfare Club (WD) Fung Lee Pui Yiu Primary School,新界屯門掃管笏管青路11號,24112208,info@plkflpy.edu.hk,http://www.plkflpy.edu.hk,鍾美珍女士
保良局金銀業貿易場張凝文學校,PLK Gold & Silver Exchange Society Pershing Tsang School,香港銅鑼灣連道12號,28908131,pershingtsang@hotmail.com,http://www.plkgspts.edu.hk,劉彩玉女士
保良局錦泰小學,PLK Grandmont Primary School,九龍慈雲山蒲崗村道180號,23262886,shn-mail@hkedcity.net,http://www.grandmont.edu.hk,呂焯權先生
保良局陳南昌夫人小學,PLK Mrs Chan Nam Chong Memorial Primary School,九龍清水灣道彩雲邨,27599365,info@plkcnc.edu.hk,http://www.plkcnc.edu.hk,黃志揚先生
保良局陳守仁小學,PLK Camões Tan Siu Lin Primary School,九龍油麻地海庭道六號,23673318,pcs-mail@hkedcity.net,http://www.plkctslps.edu.hk,楊永明先生
保良局陳溢小學,PLK Chan Yat Primary School,新界青衣長康邨第二小學,24976073,cy@plkcy.edu.hk,http://www.plkcy.edu.hk,冼翠華女士
保良局陸慶濤小學,PLK Luk Hing Too Primary School,新界將軍澳寶林邨,27010011,principal@plklht.edu.hk,http://www.plklht.edu.hk,陳桂琼女士
保良局雨川小學,PLK Riverain Primary School,沙田馬鞍山鞍駿街28號,26333170,contact@plkrps.edu.hk,http://www.plkrps.edu.hk,蔡曼筠女士
保良局香港道教聯合會圓玄小學,PLK HKTA Yuen Yuen Primary School,新界屯門青山公路青海圍26號,24501588,info@yyps.edu.hk,http://www.yyps.edu.hk,張志鴻先生
保良局馮晴紀念小學,PLK Fung Ching Memorial Primary School,新界將軍澳培成路2號,27066620,fcs@plkfcmps.edu.hk,http://www.plkfcmps.edu.hk,林向成校長
保良局黃永樹小學,PLK Wong Wing Shu Primary School,新界將軍澳唐賢街2號,21770050,plkwwsmail@yahoo.com.hk,http://www.plkwws.edu.hk,陳瑞良先生
僑港伍氏宗親會伍時暢紀念學校,HKECA Wu Si Chong Memorial School,新界屯門建生邨屋邨小學校舍,24544122,hkeca@wusichong.edu.hk,http://www.wusichong.edu.hk,朱小芳女士
優才(楊殷有娣)書院,G.T. (Ellen Yeung) College,將軍澳調景嶺彩明街,25356869,gts@gtschool.edu.hk,http://www.gtschool.hk,陳家偉博士
元朗公立中學校友會小學,YLPMS Alumni Association Primary School,新界元朗公園北路2號,24750328,info@ylaps.edu.hk,http://www.ylaps.edu.hk,陳志雄先生
元朗公立中學校友會英業小學,YLPMS Alumni Association Ying Yip Primary School,新界元朗天水圍天瑞路86號,26178200,mailbox@alu.edu.hk,http://www.alu.edu.hk,文志欽先生
元朗商會小學,Yuen Long Merchants Association Primary School,新界元朗青山公路244號,24762268,school@ylmaps.edu.hk,http://www.ylmaps.edu.hk,黎玉朝先生
元朗官立小學,Yuen Long Government Primary School,新界元朗坳頭友全街,24761160,ylgps@edb.gov.hk,http://www.ylgps.edu.hk,馮燕儀女士
元朗寶覺小學,Yuen Long Po Kok Primary School,新界元朗洪水橋丹桂村路55號,24762258,ylpokok@ylpokok.edu.hk,http://www.ylpokok.edu.hk,譚慧萍女士
元朗朗屏邨惠州學校,YL Long Ping Estate Wai Chow School,新界元朗朗屏邨第二期小學,24763903,info@hzit.edu.hk,http://www.hzit.edu.hk,宋慧儀女士
元朗朗屏邨東莞學校,YL Long Ping Estate Tung Koon Primary School,新界元朗朗屏邨第一期,24762433,tkps@tkps.edu.hk,http://www.tkps.edu.hk,呂浩華先生
光明學校,Kwong Ming School,新界元朗水邊圍邨,24762616,info@kms.edu.hk,http://www.kms.edu.hk,邢毅先生
光明英來學校,Kwong Ming Ying Loi School,元朗元政路,24762610,kmylsfung@yahoo.com.hk,http://www.kmyls.edu.hk,馮瑞德先生
八鄉中心小學,Pat Heung Central Primary School,新界元朗八鄉蓮花地199號,24881520,phcps2003@yahoo.com.hk,http://www.phcps.edu.hk,黎婉姍女士
勵志會梁李秀娛紀念小學,The Endeavourers Leung Lee Sau Yu Memorial Primary School,香港筲箕灣耀東邨耀興道25號,29679622,llsy@llsy.edu.hk,http://www.llsy.edu.hk,陳錦汛先生
北角官立小學,North Point Government Primary School,香港北角英皇道888號,25617130,npgps@edb.gov.hk,http://www.npgps.edu.hk,鄧愛蓮女士
北角官立小學(雲景道),North Point Government Primary School (Cloudview Road),香港北角雲景道22號,21229494,school@npcvr.edu.hk,http://www.npcvr.edu.hk,梁蕙君女士
北角循道學校,Chinese Methodist School (North Point),香港北角百福道15號,25619693,info@cmsnp.edu.hk,http://www.cmsnp.edu.hk,莊素妹女士
北角衛理小學,North Point Methodist Primary School,香港北角百福道2A號,25703623,npm-info@npmps.edu.hk,http://www.npmps.edu.hk,黃侶詩女士
十八鄉鄉事委員會公益社小學,Shap Pat Heung Rural Committee Kung Yik She Primary School,新界天水圍天城路22號,24486623,sphrcps@yahoo.com.hk,http://www.kysps.edu.hk,姚頌文先生
協恩中學附屬小學,Heep Yunn Primary School,九龍土瓜灣農圃道1號,27111263,hyps@hyps.mysch.net,http://www.hyps.edu.hk,梁靄雯女士
南丫北段公立小學,Northern Lamma School,南丫島榕樹灣榕樹嶺1號,29820242,enquiry@nls.edu.hk,http://www.nls.edu.hk,黃安琪女士
南元朗官立小學,South Yuen Long Government Primary School,新界元朗欖口村路21號,24781230,sylgps@edb.gov.hk,http://www.sylgps.edu.hk,鄭迪思女士
博愛醫院歷屆總理聯誼會梁省德學校,AD & FD POHL Leung Sing Tak School,新界元朗朗屏邨第三期,24745566,am@yuenlonglsts.edu.hk,http://www.yuenlonglsts.edu.hk,陳志雄先生
博愛醫院歷屆總理聯誼會鄭任安夫人千禧小學,AD & FD POHL Mrs Cheng Yam On Millennium School,新界屯門掃管笏路111號,24510088,info@mcyoms.edu.hk,http://www.mcyoms.edu.hk,蔡劍冬先生
博愛醫院歷屆總理聯誼會鄭任安夫人學校,AD & FD POHL Mrs Cheng Yam On School,新界屯門屯利街3號,24512333,info@mcyos.edu.hk,http://www.mcyos.edu.hk,鄭筱薇女士
博愛醫院陳國威小學,Pok Oi Hospital Chan Kwok Wai Primary School,新界將軍澳尚德邨,21785700,info@pohckwps.edu.hk,http://www.pohckwps.edu.hk,韋淑貞校長
台山商會學校,Toi Shan Association Primary School,新界屯門石排頭路14號,24622855,toishanaps@eservices.hkedcity.net,http://www.ts.edu.hk,曾子通先生
合一堂學校,Hop Yat Church School,九龍公主道7號,27112440,hycsa@hycs.edu.hk,http://www.hycs.edu.hk,吳麗霞博士
吳氏宗親總會泰伯紀念學校,Ng Clan's Association Tai Pak Memorial School,新界沙田馬鞍山錦英苑,26404033,taipaksch@yahoo.com.hk,http://www.taipak.edu.hk,吳信昌先生
和富慈善基金李宗德小學,W F Joseph Lee Primary School,新界天水圍101區天暉路9號,34014995,info@wfjlps.edu.hk,http://www.wfjlps.edu.hk,鄒秉恩先生
啓新書院,Renaissance College Hong Kong,新界沙田馬鞍山恆明街5號,35563556,info@rchk.edu.hk,http://www.rchk.edu.hk,Mr Brown Jr Harry Thomas
啟基學校,Chan's Creative School,九龍界限街71號新翼,23816228,chanscreative@ccs.edu.hk,http://www.ccs.edu.hk,陳美顏女士
啟基學校(港島),Chan's Creative School (Hong Kong Island),香港北角馬寶道82號,25610821,ccshki@gmail.com,http://www.ccshki.edu.hk,鄭惠琪女士
啟思小學,Creative Primary School,九龍九龍塘牛津道2號A,23360266,cps@creativeprisch.edu.hk,http://www.creativeprisch.edu.hk,陳素明女士
喇沙小學,La Salle Primary School,九龍喇沙利道1D,23362609,lasalleprimary@la-salle.edu.hk,http://www.la-salle.edu.hk,Nair Chandni 女士
嗇色園主辦可信學校,Ho Shun Primary School (Sponsored by Sik Sik Yuen),新界葵涌梨木樹邨第三座校舍,24248861,hsps@hoshun.edu.hk,http://www.hoshun.edu.hk,朱遠球先生
嗇色園主辦可立小學,Ho Lap Primary School (Sponsored by Sik Sik Yuen),九龍慈雲山慈樂邨第二期,23216003,hlp-mail@holap-p.edu.hk,http://www.holap-p.edu.hk,莊愛玲女士
嗇色園主辦可譽中學暨可譽小學,Ho Yu College and Primary School (Sponsored by Sik Sik Yuen),東涌健東路4-6號,21091001,mail@hoyu.edu.hk,http://www.hoyu.edu.hk,李雪英女士
嗇色園主辦可銘學校,Ho Ming Primary School (Sponsored by Sik Sik Yuen),新界天水圍天柏路2號,24450101,info@homing.edu.hk,http://www.homing.edu.hk,陳煥璋女士
嘉諾撒培德學校,Pui Tak Canossian Primary School,香港香港仔大道180號,25529529,ptcps180@gmail.com,http://www.ptcps.edu.hk,趙冠施女士
嘉諾撒小學,Canossa Primary School,九龍竹園親仁街五號,23222445,cpswts@gmail.com,http://www.cpswts.edu.hk,杜永強先生
嘉諾撒小學(新蒲崗),Canossa Primary School (San Po Kong),九龍新蒲崗彩頤里九號,23238883,can-cpsspk@hkedcity.net,http://www.cps.edu.hk,陳昌信先生
嘉諾撒聖家學校,Holy Family Canossian School,九龍城聯合道102號,23821035,head@hfkc.edu.hk,http://www.hfkc.edu.hk,何佩芳女士
嘉諾撒聖家學校(九龍塘),Holy Family Canossian School (Kowloon Tong),九龍塘添福路8號,23365981,admin@holyfamilykt.edu.hk,http://www.holyfamilykt.edu.hk,邵苑芬修女
嘉諾撒聖心學校,Sacred Heart Canossian School,香港中環堅道26號,25248679,shcs@shcssubs.edu.hk,http://www.shcs.edu.hk,李玉珊女士
嘉諾撒聖心學校私立部,Sacred Heart Canossian School Private Section,香港中環堅道26號,25248301,shcsps12@netvigator.com,http://www.shcsps.edu.hk,黃佩玲修女
嘉諾撒聖方濟各學校,St. Francis' Canossian School,香港灣仔聖佛蘭士街42-44號,25281763,sfcso@sfcs.edu.hk,http://www.sfcs.edu.hk,黃婉貞女士
嘉諾撒聖瑪利學校,St. Mary's Canossian School,九龍柯士甸道162號,23684204,school@smcs.edu.hk,http://www.smcs.edu.hk,張惠儀女士
國民學校,Kwok Man School,長洲國民路30號,29810432,info@cckms.edu.hk,http://www.cckms.edu.hk,賴子文先生
國際基督教優質音樂中學暨小學,International Christian Quality Music Secondary and Primary School,九龍鑽石山蒲崗村道182號,27773828,info@icqm.edu.hk,http://www.icqm.edu.hk,陳永生博士
地利亞(閩僑)英文小學,Delia (Man Kiu) English Primary School,新界青衣長安邨第二期,24325123,enquiry@deliamk.edu.hk,http://www.deliamk.edu.hk,張國威先生
地利亞英文小學暨幼稚園,Delia English Primary School and Kindergarten,九龍美孚新邨百老匯街84-86號,27422027,mail@deliapri-kg.edu.hk,http://www.deliapri-kg.edu.hk,左筱霞女士
坪石天主教小學,Ping Shek Estate Catholic Primary School,九龍坪石邨第一座校舍,23212988,psec@psec.edu.hk,http://www.psec.edu.hk,高翠萍女士
培僑小學,Pui Kiu Primary School,柴灣小西灣富怡道12號,28977866,pkps_edu@yahoo.com.hk,http://www.pkps.edu.hk,吳佳筠女士
培僑書院,Pui Kiu College,新界沙田大圍下城門道,26023166,puikiucollege@puikiu.edu.hk,http://www.puikiucollege.edu.hk,吳育智先生
培基小學,Stewards Pooi Kei Primary School,新界沙田火炭樂霞坊2號,26025353,admin@pooikei.edu.hk,http://www.pooikei.edu.hk,黃清江先生
基督教宣道會宣基小學,Christian & Missionary Alliance Sun Kei Primary School,新界將軍澳尚德邨,21916996,info@sunkei.edu.hk,http://www.sunkei.edu.hk,鄭堅民先生
基督教宣道會宣基小學(坪石),Christian and Missionary Alliance Sun Kei Primary School (Ping Shek),九龍清水灣道12號坪石邨,23423322,sk2@sunkei.edu.hk,http://www.sk2.edu.hk,區詠恩女士
基督教宣道會徐澤林紀念小學,C&MA Chui Chak Lam Memorial School,新界元朗建德街68號,23813904,mail@ccl.edu.hk,http://www.ccl.edu.hk,陳瑞如女士
基督教神召會梁省德小學,Assembly of God Leung Sing Tak Primary School,新界將軍澳文曲里2號,21911929,aoglsttko@gmail.com,http://www.lsttko.edu.hk,張麗君女士
